SampleID	nsample	group	individual	year	month_year	tag	sex	season	individual_month	age_months
267_Bon_0618_18S	267	F	Bonacca	2018	06_Jun18	TATI-a-412	F	dry	Bonacca_06_Jun18	8.233333333
268_Tor_0618_18S	268	F	Tortuga	2018	06_Jun18	TATI-a-413	F	dry	Tortuga_06_Jun18	31.90710383
269_Luc_0618_18S	269	F	Lucia	2018	06_Jun18	TATI-a-414	F	dry	Lucia_06_Jun18	224.640553
270_Pin_0618_18S	270	F	Pinos	2018	06_Jun18	TATI-a-415	M	dry	Pinos_06_Jun18	32
271_Cai_0618_18S	271	F	Caicos	2018	06_Jun18	TATI-a-416	M	dry	Caicos_06_Jun18	44
272_May_0618_18S	272	F	Mayaguana	2018	06_Jun18	TATI-a-417	F	dry	Mayaguana_06_Jun18	68
278_Alo_0718_18S	278_322_353	B	Aloha	2018	07_July18	TATI_a_1324	F	dry	Aloha_07_July18	80.5106383
279_Jac_0718_18S	279_326_349	B	Jaco	2018	07_July18	TATI_a_1403	M	dry	Jaco_07_July18	21.43461538
280_Rin_0718_18S	280_235_367	B	Rinca	2018	07_July18	TATI_a_1540	F	dry	Rinca_07_July18	67.4
281_Bur_0718_18S	281_328_351	B	Buru	2018	07_July18	TATI_a_1374	M	dry	Buru_07_July18	81
282_Ban_0718_18S	282_321_352	B	Bangladesh	2018	07_July18	TATI_a_1354	M	dry	Bangladesh_07_July18	141
