ntab	code	nfocal	day	month	year	individual	group	length_focalsec	length_focalh
2	P126	126	26	7	2018	Bahrain	J	1843	0.511944444
1	Ta63	63	15	6	2018	Kuwait	J	1751	0.486388889
2	Ta143	143	9	8	2018	Kuwait	J	1816	0.504444444
3	J7	7	8	9	2018	Kuwait	J	1748	0.485555556
1	Ta40	40	30	5	2018	Kuwait	J	1810	0.502777778
2	P127	127	26	7	2018	Kuwait	J	1847	0.513055556
3	P128	128	26	7	2018	Mongolei	J	1862	0.517222222
2	P129	129	26	7	2018	Pakistan	J	1851	0.514166667
2	P130	130	27	7	2018	Afganistan	J	1835	0.509722222
2	M172	172	31	7	2018	Adonara	B	1813	0.503611111
2	M173	173	31	7	2018	Bangladesh	B	1821	0.505833333
1	Ti20	20	2	5	2018	Kuwait	J	1891	0.525277778
2	M174	174	31	7	2018	Rinca	B	1818	0.505
2	M175	175	31	7	2018	Oman	B	1816	0.504444444
2	M176	176	31	7	2018	Lefkada	A	1816	0.504444444
3	M177	177	31	7	2018	Paros	A	1817	0.504722222
2	M178	178	31	7	2018	Isabella	A	1824	0.506666667
2	Ti83	83	19	7	2018	Latalata	B	1861	0.516944444
3	A62	62	27	9	2018	Latalata	B	1793	0.498055556
2	P131	131	27	7	2018	Mongolei	J	1859	0.516388889
3	M179	179	31	7	2018	Luzon	A	1813	0.503611111
2	P132	132	27	7	2018	Colanta	J	1849	0.513611111
2	M180	180	1	8	2018	Lucia	F	1819	0.505277778
2	M181	181	1	8	2018	Pinos	F	1871	0.519722222
3	A55	55	19	9	2018	Latalata	B	1779	0.494166667
2	P133	133	27	7	2018	Taji	J	1845	0.5125
2	M182	182	1	8	2018	Mayaguana	F	1800	0.5
3	Ti109	109	18	9	2018	Latalata	B	1833	0.509166667
1	Ti15	15	2	5	2018	Latalata	B	1936	0.537777778
2	M183	183	1	8	2018	Tortuga	F	1834	0.509444444
2	P134	134	27	7	2018	Armenia	J	1885	0.523611111
1	Ti40	40	18	5	2018	Latalata	B	1835	0.509722222
2	M184	184	1	8	2018	Caicos	F	1764	0.49
2	P135	135	27	7	2018	Pakistan	J	1851	0.514166667
2	P136	136	27	7	2018	Tilos	B	1847	0.513055556
3	J36	36	22	9	2018	Latalata	B	1796	0.498888889
1	Ta44	44	31	5	2018	Latalata	B	1823	0.506388889
2	Ti43	43	12	6	2018	Latalata	B	1810	0.502777778
3	Ta167	167	22	8	2018	Latalata	B	1828	0.507777778
4	J1	1	5	9	2018	Latalata	B	1752	0.486666667
1	Ti33	33	17	5	2018	Latalata	B	1805	0.501388889
2	Ta113	113	15	7	2018	Latalata	B	1805	0.501388889
3	Ti93	93	28	8	2018	Latalata	B	1868	0.518888889
4	J50	50	26	9	2018	Latalata	B	1969	0.546944444
2	P137	137	27	7	2018	Bangladesh	B	1857	0.515833333
2	M185	185	1	8	2018	Bonacca	F	1846	0.512777778
3	A10	10	3	9	2018	Latalata	B	1801	0.500277778
2	M186	186	1	8	2018	Pakistan	J	1818	0.505
3	P138	138	27	7	2018	Rinca	B	1846	0.512777778
3	M187	187	1	8	2018	Armenia	J	1802	0.500555556
2	P139	139	27	7	2018	Buru	B	1842	0.511666667
2	Ti86	86	28	8	2018	Lefkada	A	1819	0.505277778
